ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4234	"ENSG00000163631.12"	"ALB"	chr4	+	74279136	74279307	74279136	74279299	74280751	74280884	4234	2254,294	112,88	4602,4624	26,13	106	99	0.0	0.0	0.949,0.757	0.994,0.997	-0.143
6999	"ENSG00000157827.15"	"FMNL2"	chr2	+	153501947	153502123	153501947	153502041	153504309	153506348	6999	10,16	16,16	3,4	116,140	180	99	5.77315972805e-15	2.21718199356e-11	0.256,0.355	0.014,0.015	0.291
9130	"ENSG00000214078.7"	"CPNE1"	chr20	-	34220084	34220307	34220232	34220307	34219866	34219947	9130	246,287	57,84	351,295	24,18	197	99	6.14253092834e-12	1.57269266869e-08	0.684,0.632	0.88,0.892	-0.228
10060	"ENSG00000229117.4"	"RPL41"	chr12	+	56510558	56510647	56510558	56510583	56510972	56510995	10060	478,235	6742,17033	465,425	6661,5941	162	99	1.02511332756e-11	1.96847386725e-08	0.042,0.008	0.041,0.042	-0.017
10058	"ENSG00000229117.4"	"RPL41"	chr12	+	56510558	56510714	56510558	56510583	56510972	56510995	10058	482,271	6742,17033	474,444	6661,5941	197	99	6.17489392951e-11	9.48587205451e-08	0.035,0.008	0.035,0.036	-0.014
9547	"ENSG00000112306.7"	"RPS12"	chr6	+	133136156	133136363	133136156	133136227	133137599	133137702	9547	164,45	3914,3841	188,188	3335,3024	197	99	6.45319242487e-10	8.2611618359e-07	0.021,0.006	0.028,0.03	-0.015
10390	"ENSG00000141505.7"	"ASGR1"	chr17	-	7080148	7080378	7080299	7080378	7077692	7077779	10390	46,8	13,14	222,231	4,3	197	99	1.56275632435e-08	1.71479018962e-05	0.64,0.223	0.965,0.975	-0.538
7000	"ENSG00000157827.15"	"FMNL2"	chr2	+	153501947	153502123	153501947	153501994	153504309	153506348	7000	15,20	8,11	81,107	5,4	197	99	5.50739240879e-08	5.28778513649e-05	0.485,0.477	0.891,0.931	-0.43
13167	"ENSG00000151632.12"	"AKR1C2"	chr10	-	5041391	5042858	5042741	5042858	5040816	5040939	13167	295,198	0,0	232,183	12,8	197	99	3.85428628513e-06	0.00328941921734	1.0,1.0	0.907,0.92	0.087
12409	"ENSG00000135506.11"	"OS9"	chr12	+	58111928	58112204	58111928	58112159	58112775	58112965	12409	644,495	22,58	839,595	22,15	143	99	3.59455600842e-05	0.0276097847007	0.953,0.855	0.964,0.965	-0.06
1455	"ENSG00000256340.4"	"ABCC6P1"	chr16	+	18584198	18584419	18584198	18584382	18585641	18585757	1455	49,40	12,15	4,3	9,8	135	99	4.76491881892e-05	0.0332721285892	0.75,0.662	0.246,0.216	0.475
1619	"ENSG00000111666.6"	"CHPT1"	chr12	+	102120106	102120275	102120106	102120182	102122678	102122852	1619	96,64	224,192	100,87	135,114	191	99	5.72094289815e-05	0.0366188020006	0.182,0.147	0.277,0.283	-0.116
1146	"ENSG00000071054.11"	"MAP4K4"	chr2	+	102503549	102503723	102503549	102503699	102504239	102504399	1146	275,567	754,1229	236,196	878,791	122	99	0.000107225903649	0.0633540127637	0.228,0.272	0.179,0.167	0.077
6774	"ENSG00000173531.11"	"MST1"	chr3	-	49722654	49722815	49722694	49722815	49722444	49722522	6774	34,8	158,28	17,13	224,152	138	99	0.000146759231519	0.0805184040927	0.134,0.17	0.052,0.058	0.097
3769	"ENSG00000161939.14"	"RNASEK-C17orf49"	chr17	+	6915978	6916096	6915978	6916076	6916984	6917061	3769	344,597	71,162	674,452	87,67	118	99	0.000187627567219	0.0960778229206	0.803,0.756	0.867,0.85	-0.079
11621	"ENSG00000184076.10"	"UQCR10"	chr22	+	30163357	30163579	30163357	30163537	30165666	30166402	11621	29,50	1238,1609	19,24	339,380	140	99	0.00036791695138	0.176623131472	0.016,0.022	0.038,0.043	-0.021
2744	"ENSG00000092841.14"	"MYL6"	chr12	+	56553370	56553489	56553370	56553406	56553758	56553932	2744	769,993	85,94	224,266	9,11	181	99	0.000402474173179	0.181847301423	0.832,0.852	0.932,0.93	-0.089
4687	"ENSG00000130066.12"	"SAT1"	chrX	+	23801916	23802044	23801916	23802000	23803444	23803546	4687	126,76	733,131	137,120	1032,927	142	99	0.000465122856496	0.19847825893	0.107,0.288	0.085,0.083	0.113
2489	"ENSG00000092148.8"	"HECTD1"	chr14	-	31619204	31619427	31619387	31619427	31618102	31618366	2489	9,138	15,11	80,83	0,0	197	99	0.000581702600036	0.231763368621	0.232,0.863	1.0,1.0	-0.453
2800	"ENSG00000100650.11"	"SRSF5"	chr14	+	70233809	70234097	70233809	70233972	70234854	70234999	2800	127,49	776,728	137,126	809,601	197	99	0.000621505177862	0.231763368621	0.076,0.033	0.078,0.095	-0.032
723	"ENSG00000087088.15"	"BAX"	chr19	+	49458133	49458377	49458133	49458193	49458804	49458856	723	7,7	4,7	18,23	1,1	197	99	0.000633645455155	0.231763368621	0.468,0.334	0.9,0.92	-0.509
